id,user_id,riddle_1,riddle_2,riddle_3,riddle_4,riddle_5,riddle_6,riddle_7,time
465,642,33,30,-1,-1,-1,99,-1,2021-05-05 17:43:14
466,643,0.875,29,-1,-1,-1,50,-1,2021-05-05 18:21:30
469,646,50,30,-1,-1,-1,98,-1,2021-05-11 18:15:27
470,647,2,30,-1,-1,-1,98,-1,2021-05-11 18:24:30
471,648,78,30,-1,-1,-1,99,-1,2021-05-11 18:27:08
472,649,2,30,-1,-1,-1,98,-1,2021-05-11 18:29:00
473,650,33,30,-1,-1,-1,100,-1,2021-05-11 19:35:14
474,651,0.125,28,-1,-1,-1,98,-1,2021-05-12 19:26:58
475,654,50,24,-1,-1,-1,100,-1,2021-05-12 19:27:05
476,652,0.333333,30,-1,-1,-1,99,-1,2021-05-12 19:27:34
477,655,33,30,-1,-1,-1,99,-1,2021-05-12 19:28:14
478,656,0.5,30,-1,-1,-1,99,-1,2021-05-12 19:28:34
479,653,2,30,-1,-1,-1,99,-1,2021-05-12 19:28:35
480,660,0.125,30,-1,-1,-1,99,-1,2021-05-12 19:28:36
481,658,2,10,-1,-1,-1,80,-1,2021-05-12 19:28:52
482,657,0.875,28,-1,-1,-1,99,-1,2021-05-12 19:29:09
483,663,0.666667,30,-1,-1,-1,2,-1,2021-05-12 19:29:11
484,661,50,10,-1,-1,-1,100,-1,2021-05-12 19:29:14
485,665,33,30,-1,-1,-1,99,-1,2021-05-12 19:29:17
486,659,0.5,30,-1,-1,-1,99,-1,2021-05-12 19:29:23
487,672,50,3,-1,-1,-1,95,-1,2021-05-12 19:29:26
488,667,1,30,-1,-1,-1,99,-1,2021-05-12 19:30:13
489,671,1,30,-1,-1,-1,99,-1,2021-05-12 19:30:16
490,662,100,30,-1,-1,-1,9900,-1,2021-05-12 19:30:17
491,664,0.125,30,-1,-1,-1,99,-1,2021-05-12 19:30:39
492,675,50,30,-1,-1,-1,100,-1,2021-05-12 19:30:41
493,676,0.666667,30,-1,-1,-1,100,-1,2021-05-12 19:30:47
494,670,1,15,-1,-1,-1,100,-1,2021-05-12 19:30:55
495,666,0.9375,30,-1,-1,-1,98,-1,2021-05-12 19:31:29
496,679,2,30,-1,-1,-1,98,-1,2021-05-12 19:31:39
497,680,70,30,-1,-1,-1,99,-1,2021-05-12 19:31:56
498,681,33.33,30,-1,-1,-1,99,-1,2021-05-12 19:32:05
499,682,12.5,30,-1,-1,-1,98,-1,2021-05-12 19:32:46
500,674,1,30,-1,-1,-1,99,-1,2021-05-12 19:32:54
501,669,0.875,27,-1,-1,-1,98.98,-1,2021-05-12 19:33:01
502,668,33.3,30,-1,-1,-1,100,-1,2021-05-12 19:33:22
503,684,33,28,-1,-1,-1,99,-1,2021-05-12 19:33:26
504,685,2,30,-1,-1,-1,50,-1,2021-05-12 19:33:28
505,678,2,28,-1,-1,-1,98.9,-1,2021-05-12 19:33:38
506,688,3,30,-1,-1,-1,99,-1,2021-05-12 19:34:16
507,686,1,27,-1,-1,-1,99,-1,2021-05-12 19:34:33
508,691,0.5,31,-1,-1,-1,20,-1,2021-05-12 19:34:36
509,692,0.666667,15,-1,-1,-1,98,-1,2021-05-12 19:34:47
510,687,0.5,20,-1,-1,-1,998,-1,2021-05-12 19:34:55
511,677,0.75,30,-1,-1,-1,200,-1,2021-05-12 19:35:57
512,697,0.333333,30,-1,-1,-1,98,-1,2021-05-12 19:37:34
513,695,0.333333,30,-1,-1,-1,99,-1,2021-05-12 19:37:43
514,693,1,30,-1,-1,-1,98,-1,2021-05-12 19:38:11
515,696,0.125,30,-1,-1,-1,99,-1,2021-05-12 19:39:07
516,690,87.5,30,-1,-1,-1,1,-1,2021-05-12 19:40:05
517,683,87.5,27,-1,-1,-1,50,-1,2021-05-12 19:40:07
518,694,12.5,29,-1,-1,-1,50,-1,2021-05-12 19:40:41
519,698,1,30,-1,-1,-1,2,-1,2021-05-12 19:40:45
520,699,0.5,29,-1,-1,-1,99,-1,2021-05-12 19:42:15
521,700,3,3,-1,-1,-1,90,-1,2021-05-12 19:43:49
522,702,33.3,30,-1,-1,-1,100,-1,2021-05-12 19:50:52
523,703,0.5,30,-1,-1,-1,2,-1,2021-05-12 20:03:20
524,704,0.33,14,-1,-1,-1,2,-1,2021-05-12 20:18:15
